train_loss,train_acc,test_acc
4.018886566162109,0.0439,0.1042
3.4142704010009766,0.1317,0.1688
3.106966018676758,0.21372,0.2455
2.5391757488250732,0.29996,0.2832
2.3108737468719482,0.3761,0.2826
1.8019589185714722,0.4638,0.2665
1.6820409297943115,0.53798,0.2883
1.3013806343078613,0.61676,0.2892
1.1305125951766968,0.69394,0.2914
0.8915367126464844,0.74968,0.2947
0.7613005638122559,0.8074,0.3086
0.5707523822784424,0.84598,0.2975
0.529792845249176,0.86762,0.3079
0.4649377167224884,0.896,0.3209
0.37327226996421814,0.90998,0.3119
0.37140321731567383,0.92552,0.3259
0.24843904376029968,0.93542,0.3143
0.19303101301193237,0.94226,0.3257
0.1907368153333664,0.94846,0.3264
0.2017514854669571,0.95164,0.3267
0.12152058631181717,0.96118,0.3332
0.12791875004768372,0.96782,0.3444
0.17848297953605652,0.97044,0.3265
0.13350564241409302,0.9687,0.3435
0.09622056037187576,0.96938,0.3386
0.09031625837087631,0.97198,0.3377
0.12089458107948303,0.978,0.3289
0.07629653811454773,0.9784,0.3442
0.14757707715034485,0.9801,0.3452
0.09119556844234467,0.97938,0.3459
0.06371019035577774,0.9799,0.3353
0.06462644040584564,0.98394,0.3491
0.037192292511463165,0.9848,0.355
0.04400971904397011,0.98606,0.3373
0.04104610159993172,0.98662,0.3518
0.03101367875933647,0.9864,0.3494
0.08791793882846832,0.98726,0.3417
0.043664030730724335,0.98742,0.3424
0.036762986332178116,0.98548,0.3417
0.03136133402585983,0.98658,0.3498
0.054972629994153976,0.98878,0.3424
0.04584693908691406,0.98978,0.3584
0.02466539852321148,0.99206,0.3579
0.06944091618061066,0.99148,0.3496
0.0063279797323048115,0.99092,0.3525
0.028079591691493988,0.99038,0.3544
0.03370276093482971,0.99158,0.3484
0.005555285140872002,0.99096,0.3622
0.021710466593503952,0.99256,0.3638
0.053704507648944855,0.9916,0.343
0.059412576258182526,0.99116,0.3604
0.00866929441690445,0.99206,0.3538
0.0590883269906044,0.99352,0.3532
0.013138679787516594,0.9922,0.3543
0.013792802579700947,0.99264,0.3563
0.02992420457303524,0.99148,0.3447
0.0495317205786705,0.9919,0.3628
0.026463583111763,0.99162,0.3567
0.05611401051282883,0.99154,0.3543
0.006015710067003965,0.99232,0.3566
0.018117958679795265,0.99414,0.3638
0.007736319676041603,0.99426,0.3685
0.02706899493932724,0.99674,0.3669
0.016428476199507713,0.99628,0.3686
0.01560407318174839,0.99656,0.371
0.02751825749874115,0.99752,0.3704
0.004815420601516962,0.99764,0.3703
0.002748419065028429,0.99834,0.3781
0.004858577623963356,0.99894,0.3758
0.000679074670188129,0.99924,0.381
0.00038010592106729746,0.99938,0.3804
0.0002743625664152205,0.99964,0.382
0.0001833263086155057,0.99972,0.3815
0.00034908438101410866,0.9997,0.3847
0.007280572317540646,0.99966,0.3824
7.318182179005817e-05,0.9998,0.3851
0.0008838272769935429,0.9998,0.3878
9.728706208989024e-05,0.99972,0.386
7.418708992190659e-05,0.99978,0.3863
0.0001159066305262968,0.9998,0.3875
4.4269589125178754e-05,0.99974,0.3851
6.747356383129954e-05,0.9998,0.3856
0.00013536242477130145,0.99984,0.3864
7.792896940372884e-05,0.9998,0.3868
0.0007604227284900844,0.99978,0.3859
0.0015283278189599514,0.99976,0.3864
0.0001551521272631362,0.99978,0.3873
5.6686556490603834e-05,0.99978,0.3877
4.4690630602417514e-05,0.99974,0.3871
4.1673520172480494e-05,0.99978,0.3896
7.820152677595615e-05,0.99978,0.3882
2.8739434128510766e-05,0.99982,0.3904
5.121589492773637e-05,0.9998,0.3891
4.072605224791914e-05,0.99978,0.3893
2.9949927920824848e-05,0.99978,0.3886
3.994256985606626e-05,0.99974,0.389
5.792958472738974e-05,0.9998,0.39
6.0511596529977396e-05,0.99982,0.3896
0.00580952875316143,0.99978,0.3899
5.900749965803698e-05,0.99978,0.3894
7.799309969414026e-05,0.99982,0.391
7.354730041697621e-05,0.99982,0.3886
6.083922926336527e-05,0.99974,0.3898
7.636070949956775e-05,0.99986,0.3891
0.004112366586923599,0.99976,0.3901
4.2976094846380875e-05,0.99974,0.3886
2.4482173103024252e-05,0.99984,0.3903
4.666944369091652e-05,0.99978,0.3879
4.854946382693015e-05,0.99982,0.3898
5.9388665249571204e-05,0.99986,0.3906
4.554662882583216e-05,0.9998,0.3903
3.5295914130983874e-05,0.99976,0.3911
0.0016400892054662108,0.99976,0.3912
0.0008438910590484738,0.99972,0.391
4.246095704729669e-05,0.99982,0.3896
2.5649474991951138e-05,0.9998,0.3895
0.00012600075569935143,0.9998,0.3897
5.7438472140347585e-05,0.99974,0.3883
2.8343569283606485e-05,0.99982,0.3897
4.240952694090083e-05,0.99976,0.3908
2.6135356165468693e-05,0.9998,0.3913
3.858288255287334e-05,0.99978,0.3906
3.975896106567234e-05,0.99982,0.3917
1.3929618944530375e-05,0.9998,0.3914
1.8477194316801615e-05,0.99982,0.3915
4.722297308035195e-05,0.99982,0.3922
2.202813993790187e-05,0.99976,0.3906
6.340277468552813e-05,0.99978,0.3916
2.0041126845171675e-05,0.99976,0.3905
4.8678186431061476e-05,0.99976,0.3911
1.7881191524793394e-05,0.99984,0.3905
0.00010823684715433046,0.99986,0.3909
1.7439675502828322e-05,0.9998,0.391
3.096617729170248e-05,0.99976,0.3917
4.689872730523348e-05,0.9998,0.3913
7.926370017230511e-05,0.99976,0.3905
0.006759352516382933,0.99976,0.3917
2.0514384232228622e-05,0.99984,0.3911
3.165301677654497e-05,0.9998,0.3898
7.898884359747171e-05,0.9998,0.3919
0.00010409370588604361,0.99974,0.3907
2.6862249796977267e-05,0.99974,0.3908
0.0030741740483790636,0.99976,0.3917
3.858528725686483e-05,0.9998,0.3929
5.043750206823461e-05,0.99978,0.3911
1.7192887753481045e-05,0.99978,0.39
9.075003617908806e-05,0.99982,0.3913
6.051280797692016e-05,0.99976,0.392
2.7684525775839575e-05,0.99978,0.3914
1.5723253454780206e-05,0.99978,0.3895
