train_loss,train_acc,test_acc
4.618801116943359,0.00994,0.0122
4.592940807342529,0.01192,0.0177
4.575552940368652,0.0133,0.0201
4.6081223487854,0.01422,0.0225
4.54882287979126,0.01642,0.0231
4.577218532562256,0.0188,0.023
4.526499271392822,0.02126,0.0268
4.476309776306152,0.02292,0.0293
4.516965389251709,0.02506,0.0338
4.493408203125,0.02682,0.0363
4.412769317626953,0.02928,0.0399
4.4835405349731445,0.03148,0.0428
4.400673866271973,0.03414,0.0451
4.427336692810059,0.03466,0.0454
4.4028167724609375,0.03676,0.0508
4.417897701263428,0.03888,0.05
4.406052112579346,0.04006,0.0528
4.351716041564941,0.04176,0.0572
4.33173942565918,0.0458,0.0589
4.297967910766602,0.04652,0.0598
4.397225379943848,0.0474,0.0628
4.205865859985352,0.05206,0.0649
4.251088619232178,0.05348,0.0671
4.270657062530518,0.05592,0.0705
4.1402411460876465,0.05878,0.0737
4.153573036193848,0.06176,0.0801
4.102963447570801,0.06586,0.0831
4.138980865478516,0.06924,0.0843
4.125260353088379,0.0736,0.0901
4.042964935302734,0.0772,0.0932
3.9786229133605957,0.08056,0.0963
3.965989351272583,0.08226,0.1028
3.962303638458252,0.08858,0.1063
4.053926944732666,0.09196,0.109
3.94873046875,0.09584,0.11
3.8857409954071045,0.09776,0.1138
3.9209351539611816,0.10344,0.1175
3.8342723846435547,0.10588,0.1205
3.7592501640319824,0.11062,0.1231
3.7392897605895996,0.11158,0.1249
3.746286392211914,0.11642,0.1261
3.724489212036133,0.11918,0.1297
3.7487244606018066,0.12346,0.1319
3.6448752880096436,0.12768,0.1347
3.77227520942688,0.13224,0.1374
3.5910000801086426,0.1352,0.1392
3.699371814727783,0.1398,0.1425
3.51755952835083,0.14586,0.1444
3.5323846340179443,0.15046,0.1461
3.412855863571167,0.152,0.1483
3.4220242500305176,0.16032,0.1506
3.357968330383301,0.16326,0.1533
3.3779361248016357,0.1692,0.1525
3.367452621459961,0.17532,0.1576
3.291139841079712,0.18138,0.1589
3.1564290523529053,0.18636,0.1606
3.143742084503174,0.19234,0.1589
3.271890878677368,0.19938,0.1632
3.2293689250946045,0.20544,0.1621
3.011911153793335,0.20948,0.1628
3.0497021675109863,0.2199,0.1636
3.0352280139923096,0.22638,0.1643
3.0213265419006348,0.23512,0.1658
2.918236255645752,0.24368,0.1664
2.9358432292938232,0.25224,0.1669
2.8317978382110596,0.2591,0.1683
2.981375217437744,0.26678,0.1711
2.6943166255950928,0.27288,0.1724
2.6794729232788086,0.28276,0.1726
2.605257987976074,0.29212,0.1731
2.7385334968566895,0.302,0.1726
2.611217975616455,0.3093,0.1699
