train_loss,train_acc,test_acc
4.647538185119629,0.01042,0.0104
4.605312347412109,0.0104,0.0172
4.616854190826416,0.0131,0.0201
4.577831268310547,0.0137,0.0207
4.576868534088135,0.01592,0.025
4.568722248077393,0.01842,0.0287
4.575844764709473,0.01934,0.0315
4.521327018737793,0.02184,0.0336
4.54396390914917,0.0233,0.0359
4.502849102020264,0.02594,0.0394
4.466526031494141,0.0272,0.0433
4.486655235290527,0.0293,0.0456
4.445263385772705,0.03134,0.0479
4.491232872009277,0.0323,0.0489
4.411811828613281,0.03396,0.0516
4.447330474853516,0.03502,0.0537
4.391541481018066,0.0366,0.0553
4.396927833557129,0.03806,0.0558
4.3631367683410645,0.04008,0.0582
4.338736534118652,0.0417,0.0583
4.315885066986084,0.0449,0.0604
4.352436065673828,0.04838,0.0611
4.26499080657959,0.04824,0.0626
4.328033447265625,0.05182,0.0663
4.233036518096924,0.05534,0.0677
4.268258571624756,0.05724,0.0724
4.142093658447266,0.06042,0.0749
4.186680793762207,0.0646,0.0787
4.135066986083984,0.06796,0.0829
4.162258148193359,0.07134,0.088
3.947445869445801,0.07294,0.094
4.125077724456787,0.07912,0.0964
4.034141540527344,0.0838,0.1032
3.9804346561431885,0.08724,0.1071
3.9183924198150635,0.09172,0.1093
3.9148435592651367,0.09482,0.1141
3.9577488899230957,0.09864,0.117
3.901272773742676,0.10412,0.1209
3.792104482650757,0.10528,0.1237
3.900660276412964,0.10918,0.1259
3.807349443435669,0.11378,0.13
3.799875259399414,0.11822,0.1341
3.6767284870147705,0.12144,0.1361
3.7094614505767822,0.124,0.1386
3.5750932693481445,0.13,0.141
3.585139036178589,0.13366,0.1426
3.6540679931640625,0.14,0.1444
3.4557437896728516,0.14332,0.1489
3.5657036304473877,0.14708,0.1503
3.526052236557007,0.15042,0.1535
3.5443363189697266,0.15698,0.1562
3.547395944595337,0.16104,0.1566
3.3637630939483643,0.16836,0.1584
3.4011244773864746,0.17306,0.1586
3.380504846572876,0.17854,0.1617
3.321594715118408,0.18148,0.1632
3.32049822807312,0.19256,0.1645
3.3782570362091064,0.20004,0.1657
3.115793466567993,0.20548,0.1665
3.1092159748077393,0.21128,0.1673
3.025510787963867,0.21862,0.1679
3.173285961151123,0.2268,0.168
3.1691768169403076,0.23364,0.1684
2.908677339553833,0.24412,0.1702
2.8729610443115234,0.25176,0.1714
2.809659481048584,0.26012,0.1719
2.8134100437164307,0.27006,0.1701
2.880579710006714,0.27366,0.1701
2.71008038520813,0.28678,0.1731
2.7923617362976074,0.29404,0.1707
2.453019380569458,0.30424,0.1701
2.6365678310394287,0.31756,0.1682
2.4844679832458496,0.32328,0.1688
2.3711743354797363,0.3356,0.1689
2.5512077808380127,0.3421,0.167
