train_loss,train_acc,test_acc
4.205737590789795,0.02116,0.0309
4.188836574554443,0.0338,0.0354
4.119287014007568,0.03892,0.0436
4.1354594230651855,0.04742,0.0486
3.743258237838745,0.06326,0.0607
3.6235547065734863,0.08188,0.0797
3.595740556716919,0.10402,0.103
3.3200185298919678,0.12878,0.1338
3.035886287689209,0.15144,0.1534
3.058004140853882,0.17748,0.1779
2.9065864086151123,0.19912,0.1883
2.7010984420776367,0.22646,0.235
2.6692652702331543,0.24896,0.2436
2.6876561641693115,0.27552,0.2356
2.282379627227783,0.30142,0.2876
2.3302929401397705,0.32036,0.2866
2.2512552738189697,0.34088,0.2975
2.1559715270996094,0.36636,0.3017
2.312298536300659,0.3883,0.3334
1.889435887336731,0.4119,0.358
1.834469199180603,0.43378,0.34
1.861413836479187,0.44444,0.361
1.7104837894439697,0.4638,0.3428
1.6495610475540161,0.48784,0.3601
1.6973031759262085,0.50666,0.3732
1.490465760231018,0.51522,0.3553
1.286373257637024,0.54514,0.3763
1.4653213024139404,0.55924,0.374
1.323896884918213,0.57382,0.3985
1.2390351295471191,0.59552,0.4138
1.2323778867721558,0.6143,0.4097
1.3377141952514648,0.62712,0.4151
1.2738317251205444,0.64384,0.4211
1.1208419799804688,0.6609,0.401
1.004042387008667,0.66778,0.4162
1.105628490447998,0.68852,0.4153
1.030534029006958,0.69748,0.3986
1.084848165512085,0.71198,0.4275
1.0569517612457275,0.73028,0.4307
0.9822903871536255,0.74104,0.4305
0.9277098774909973,0.75466,0.436
0.7108595967292786,0.76212,0.4381
1.0282429456710815,0.77472,0.43
0.6465744972229004,0.78026,0.435
1.0093752145767212,0.79516,0.4551
0.5646589994430542,0.79656,0.4529
0.47608476877212524,0.81002,0.4646
0.5730211734771729,0.82268,0.4495
0.5534237623214722,0.818,0.4457
0.6733865141868591,0.82932,0.4444
0.6116365194320679,0.84066,0.4428
0.522759735584259,0.84688,0.4596
0.6434530019760132,0.85474,0.4426
0.7068758010864258,0.85978,0.4614
0.5022965669631958,0.8688,0.4706
0.5362928509712219,0.86678,0.4514
0.530724287033081,0.87834,0.4602
0.65965735912323,0.88104,0.4624
0.5938839912414551,0.88558,0.464
0.4506816864013672,0.8935,0.4724
0.39980071783065796,0.89408,0.4753
0.3994152843952179,0.90278,0.4763
0.3460058569908142,0.90692,0.4662
0.346449613571167,0.90422,0.4848
0.3256591558456421,0.90308,0.4725
0.38959330320358276,0.91456,0.4696
0.28435492515563965,0.91912,0.4749
0.39192330837249756,0.92206,0.4668
0.2988688051700592,0.91974,0.4636
0.6024393439292908,0.92444,0.4578
0.23981748521327972,0.92002,0.4829
0.24738289415836334,0.92862,0.4813
0.1289980709552765,0.93162,0.4908
0.3732195198535919,0.93036,0.4718
0.30626770853996277,0.92694,0.481
0.3087443709373474,0.93384,0.4653
0.20946884155273438,0.93746,0.4823
0.2976052165031433,0.93294,0.4862
0.2716158628463745,0.94364,0.4877
0.20268097519874573,0.94018,0.4939
0.23959238827228546,0.94282,0.4641
0.28066182136535645,0.94258,0.4775
0.24005955457687378,0.94772,0.484
0.34743475914001465,0.94562,0.4811
0.3054768145084381,0.94264,0.4762
0.21308667957782745,0.9457,0.4967
0.2559783458709717,0.95238,0.486
0.15031184256076813,0.9503,0.4755
0.20086851716041565,0.9527,0.476
0.1618472784757614,0.95332,0.4904
0.2644438147544861,0.95422,0.4942
0.16359713673591614,0.94822,0.4913
0.1965174376964569,0.9558,0.5016
0.20887093245983124,0.96016,0.4881
0.14359168708324432,0.95874,0.4909
0.20851218700408936,0.95876,0.4753
0.23519016802310944,0.95494,0.4816
0.09996020048856735,0.95392,0.4912
0.21000714600086212,0.9574,0.4867
0.16527387499809265,0.95476,0.4952
0.16618283092975616,0.9596,0.4867
0.2997097074985504,0.96358,0.4854
0.1274295300245285,0.95842,0.5073
0.16067048907279968,0.96808,0.502
0.2949524521827698,0.96536,0.4966
0.11288078874349594,0.95908,0.4987
0.13745161890983582,0.96412,0.4973
0.2227226197719574,0.96392,0.498
0.11652752012014389,0.96412,0.5072
0.20441046357154846,0.96476,0.5055
0.13370220363140106,0.96404,0.5055
0.16614778339862823,0.96568,0.4963
0.10747800767421722,0.96844,0.5111
0.12834061682224274,0.9677,0.5118
0.14009977877140045,0.9666,0.5079
0.25709375739097595,0.96706,0.5009
0.13015583157539368,0.95892,0.5035
0.1427103728055954,0.96802,0.5113
0.11688466370105743,0.9697,0.5151
0.08498106151819229,0.97204,0.5105
0.14099684357643127,0.96852,0.5082
0.28383612632751465,0.971,0.5113
0.09835004806518555,0.97008,0.4959
0.08409586548805237,0.97172,0.513
0.08469261229038239,0.97118,0.503
0.16842243075370789,0.97196,0.5174
0.13718102872371674,0.97264,0.5017
0.1764846295118332,0.9667,0.5059
0.16883400082588196,0.97302,0.5007
0.09705857932567596,0.9731,0.5052
0.13939101994037628,0.9707,0.5152
0.12415487319231033,0.97072,0.5078
0.18389256298542023,0.97564,0.5176
0.13451392948627472,0.97446,0.496
0.11823658645153046,0.97156,0.5078
0.12551677227020264,0.97132,0.5129
0.14882758259773254,0.97288,0.5013
0.13750886917114258,0.9753,0.5044
0.1364728808403015,0.97536,0.5126
0.0946531817317009,0.97542,0.5074
0.1048232913017273,0.9763,0.5139
0.09662274271249771,0.977,0.5165
0.10894601792097092,0.9796,0.5232
0.1635294109582901,0.9793,0.5247
0.14844152331352234,0.9781,0.5178
0.11075111478567123,0.97742,0.5217
