train_loss,train_acc,test_acc
4.466085910797119,0.02206,0.0407
4.324916362762451,0.05566,0.0712
4.173163414001465,0.08534,0.0915
4.015955924987793,0.1077,0.1087
3.9833929538726807,0.1262,0.1255
3.774968385696411,0.14222,0.1356
3.8168745040893555,0.15652,0.1469
3.689920663833618,0.16796,0.1565
3.6144168376922607,0.17974,0.1662
3.5072827339172363,0.19166,0.172
3.456270217895508,0.20162,0.1791
3.5709309577941895,0.21124,0.187
3.336357593536377,0.22,0.1908
3.4054253101348877,0.22876,0.1968
3.2785067558288574,0.23548,0.2012
3.3042919635772705,0.24434,0.2048
3.1948838233947754,0.25114,0.2086
3.1839230060577393,0.25918,0.2119
3.2517569065093994,0.26648,0.2173
3.1721079349517822,0.27366,0.2203
3.1766467094421387,0.28064,0.2226
3.1618154048919678,0.28896,0.2264
3.060441255569458,0.29576,0.2303
3.045182466506958,0.30234,0.2343
2.8895890712738037,0.31002,0.2376
2.9325573444366455,0.31664,0.238
2.931490659713745,0.32288,0.2413
2.752185344696045,0.3305,0.2454
2.807217836380005,0.33624,0.2473
2.8522839546203613,0.34238,0.2496
2.936326265335083,0.34938,0.2539
2.7510523796081543,0.3561,0.2551
2.760873317718506,0.36386,0.2566
2.6986300945281982,0.36988,0.2584
2.6365160942077637,0.37716,0.2617
2.6049838066101074,0.38256,0.265
2.6578080654144287,0.38996,0.2668
2.595120429992676,0.39644,0.2693
2.503967761993408,0.40176,0.2712
2.4267921447753906,0.40942,0.2735
2.5623652935028076,0.41542,0.2743
2.474317789077759,0.42062,0.2753
2.4442012310028076,0.42712,0.2787
2.525325298309326,0.4339,0.2796
2.365208625793457,0.4409,0.2815
2.4352259635925293,0.44616,0.2825
2.335498571395874,0.4532,0.2858
2.32165789604187,0.45974,0.2853
2.325294017791748,0.46592,0.2871
2.3624043464660645,0.47408,0.2883
2.2738444805145264,0.47964,0.2886
2.209836006164551,0.48682,0.2904
2.250215530395508,0.4936,0.2917
2.199549913406372,0.5002,0.2927
2.2015416622161865,0.50724,0.2936
2.2229466438293457,0.51214,0.2929
2.1234540939331055,0.52092,0.2955
2.0215137004852295,0.52814,0.2958
2.0408804416656494,0.53472,0.2969
2.0471088886260986,0.5403,0.2982
1.9414491653442383,0.54742,0.2985
1.993757724761963,0.55516,0.2997
1.9182190895080566,0.56256,0.3006
1.931952714920044,0.56702,0.3013
2.015148639678955,0.57692,0.3013
1.832871913909912,0.58326,0.3005
1.8780993223190308,0.59064,0.3024
1.8325337171554565,0.59852,0.3022
1.7762491703033447,0.6046,0.3029
1.9275999069213867,0.61146,0.3021
1.799678087234497,0.61866,0.303
1.7329736948013306,0.62582,0.3025
1.7703577280044556,0.63266,0.3043
1.6749956607818604,0.63952,0.3033
1.6862303018569946,0.64834,0.3039
1.5387004613876343,0.65484,0.304
1.702572226524353,0.66176,0.303
1.5347226858139038,0.66852,0.3034
