train_loss,train_acc,test_acc
4.464718341827393,0.02198,0.0408
4.321993350982666,0.05618,0.0715
4.169220924377441,0.08586,0.0925
4.011527061462402,0.1084,0.1096
3.9787001609802246,0.12686,0.1261
3.7698047161102295,0.14286,0.1367
3.8121039867401123,0.15706,0.1482
3.6841113567352295,0.16882,0.1573
3.6090476512908936,0.18092,0.1668
3.501132011413574,0.19262,0.1728
3.4497194290161133,0.20282,0.1798
3.564329147338867,0.2125,0.1874
3.3297243118286133,0.22098,0.1911
3.399540424346924,0.2298,0.1978
3.272230625152588,0.23674,0.2013
3.2974355220794678,0.24576,0.2056
3.1880979537963867,0.25238,0.2092
3.177504062652588,0.26042,0.2134
3.2443935871124268,0.26796,0.2187
3.1653366088867188,0.27494,0.2207
3.1699252128601074,0.2822,0.2237
3.154691696166992,0.29032,0.227
3.052741289138794,0.29722,0.2309
3.037395477294922,0.30412,0.2351
2.8813283443450928,0.31182,0.2384
2.9233486652374268,0.31824,0.2388
2.9227194786071777,0.32494,0.2417
2.743835687637329,0.33214,0.2453
2.797924757003784,0.33814,0.2478
2.8436479568481445,0.34486,0.2511
2.9268195629119873,0.35194,0.2547
2.7419917583465576,0.3583,0.2557
2.7516744136810303,0.36608,0.2576
2.6888651847839355,0.37218,0.2595
2.62742018699646,0.37946,0.2629
2.5954337120056152,0.38496,0.2658
2.6473817825317383,0.39228,0.2677
2.5859811305999756,0.39872,0.2706
2.492877721786499,0.40458,0.2721
2.415663719177246,0.4119,0.274
2.5515246391296387,0.41816,0.2753
2.463202953338623,0.42292,0.2769
2.432403564453125,0.42948,0.2795
2.5136821269989014,0.43686,0.2805
2.3532543182373047,0.44344,0.2823
2.423140287399292,0.4495,0.2832
2.3228187561035156,0.45654,0.2855
2.308847427368164,0.46324,0.2857
2.3118247985839844,0.46916,0.287
2.348494291305542,0.47762,0.2887
2.2612483501434326,0.48298,0.2897
2.1958494186401367,0.49038,0.2909
2.236780881881714,0.49708,0.2921
2.1861889362335205,0.5038,0.2932
2.188065767288208,0.51098,0.294
2.208869695663452,0.51584,0.2938
2.1091573238372803,0.52504,0.2956
2.0073695182800293,0.53252,0.296
2.026433229446411,0.53864,0.298
2.031416893005371,0.5445,0.2984
1.927035927772522,0.55198,0.2984
1.9776798486709595,0.55974,0.2996
1.902305006980896,0.56652,0.3001
1.916838526725769,0.57158,0.3013
1.9988797903060913,0.58064,0.3003
1.8169771432876587,0.58768,0.3009
1.8618361949920654,0.59552,0.3027
1.8167058229446411,0.60298,0.3025
1.7592191696166992,0.6096,0.3031
1.9088948965072632,0.61662,0.3033
1.7824125289916992,0.62368,0.3039
1.7152526378631592,0.63028,0.3033
1.7526262998580933,0.63762,0.3044
1.6583609580993652,0.64444,0.3035
1.669356346130371,0.65364,0.3037
1.5204224586486816,0.66028,0.3036
1.6837959289550781,0.66774,0.303
1.5156500339508057,0.67384,0.3026
1.5038530826568604,0.68132,0.3044
1.5468374490737915,0.68836,0.3028
1.4108786582946777,0.69516,0.305
1.357987880706787,0.70344,0.3028
1.5197997093200684,0.71102,0.3027
1.5463052988052368,0.71724,0.3027
1.3813657760620117,0.72596,0.3051
1.3258581161499023,0.73316,0.3034
1.4084984064102173,0.7395,0.3047
1.3250786066055298,0.74762,0.3047
1.464329481124878,0.75388,0.3044
1.2577475309371948,0.76064,0.3041
1.2462422847747803,0.76892,0.3025
1.213711142539978,0.7752,0.3028
1.1604832410812378,0.78104,0.302
1.156489372253418,0.789,0.3034
1.2167840003967285,0.79538,0.304
1.1740624904632568,0.80224,0.3032
1.1129807233810425,0.81018,0.3013
1.1619610786437988,0.8144,0.3043
1.0865976810455322,0.82208,0.3033
1.060377836227417,0.82838,0.3028
1.0131795406341553,0.83482,0.3031
1.0494171380996704,0.84092,0.303
1.0053937435150146,0.84642,0.3029
0.9590238928794861,0.85276,0.3024
1.0110732316970825,0.85882,0.3002
0.9578059911727905,0.86304,0.3023
0.9145206212997437,0.87088,0.303
0.885748565196991,0.87514,0.3028
0.8126164674758911,0.88048,0.3009
0.9181762933731079,0.88574,0.3012
0.8153813481330872,0.89268,0.3019
0.7881667613983154,0.89662,0.301
0.8924199342727661,0.9025,0.2996
0.7684577107429504,0.90772,0.3008
0.7871127128601074,0.9115,0.2996
0.7343106269836426,0.91578,0.2999
0.7457668781280518,0.91964,0.2992
0.7131732702255249,0.92534,0.2995
0.70161372423172,0.93004,0.2997
0.6992047429084778,0.9337,0.2997
0.6731062531471252,0.93704,0.2996
0.648945152759552,0.94086,0.3003
0.6025973558425903,0.94364,0.2986
0.6120949983596802,0.9472,0.2968
0.5765536427497864,0.95138,0.2981
0.6210945248603821,0.95458,0.2976
0.543317973613739,0.95696,0.2969
0.5582169890403748,0.95894,0.2958
0.5060227513313293,0.9629,0.2972
0.5007092356681824,0.965,0.2959
0.5315126180648804,0.96798,0.2957
0.43406176567077637,0.96968,0.2951
0.4636388123035431,0.97154,0.2952
0.4698324203491211,0.97496,0.2959
0.44544270634651184,0.9761,0.2944
0.4116184115409851,0.97824,0.2951
0.4533974826335907,0.9797,0.2945
0.38292640447616577,0.9816,0.2934
0.3914424777030945,0.9824,0.2946
0.38145965337753296,0.9839,0.2934
0.3339008688926697,0.9857,0.2937
0.3443780839443207,0.98724,0.2947
0.34205517172813416,0.98742,0.2943
0.33290329575538635,0.98904,0.2939
0.36994147300720215,0.98962,0.2935
0.31221339106559753,0.99018,0.2925
0.32184359431266785,0.99122,0.2929
0.32390496134757996,0.99222,0.2932
0.3055747449398041,0.99266,0.2928
0.293296754360199,0.99258,0.2928
0.2892090380191803,0.99408,0.292
0.3072780668735504,0.99478,0.2919
0.31757721304893494,0.99496,0.2926
0.2663944363594055,0.99546,0.2939
0.25642967224121094,0.9955,0.2924
0.24616427719593048,0.99602,0.2933
0.2476438581943512,0.99686,0.2928
0.263954222202301,0.99694,0.2922
0.2506687641143799,0.9972,0.2939
0.23919916152954102,0.99764,0.292
0.25130677223205566,0.99756,0.2921
0.21828503906726837,0.99798,0.2915
0.22123758494853973,0.9981,0.2926
