train_loss,train_acc,test_acc
4.513919830322266,0.02012,0.0328
4.405147075653076,0.04392,0.0569
4.282100200653076,0.06992,0.0771
4.136673450469971,0.08892,0.0922
4.117726802825928,0.10552,0.105
3.9215309619903564,0.1199,0.1172
3.954684257507324,0.13178,0.1254
3.8580613136291504,0.14232,0.1368
3.7825872898101807,0.15256,0.1439
3.696126699447632,0.16204,0.1487
3.6595757007598877,0.17134,0.158
3.7607693672180176,0.17932,0.1648
3.5468015670776367,0.18764,0.1702
3.5888831615448,0.19524,0.174
3.485543727874756,0.20204,0.1793
3.5213489532470703,0.20836,0.1836
3.409837245941162,0.21502,0.1876
3.3922111988067627,0.22174,0.1896
3.4835078716278076,0.2273,0.1932
3.404280424118042,0.23246,0.1966
3.411240816116333,0.2387,0.201
3.3894617557525635,0.24456,0.203
3.3106002807617188,0.24946,0.2067
3.308499336242676,0.2549,0.2091
3.161489248275757,0.26024,0.2116
3.223271369934082,0.26512,0.2141
3.2228260040283203,0.26884,0.217
3.041750431060791,0.27516,0.2198
3.1117539405822754,0.2792,0.2231
3.1477675437927246,0.28388,0.2265
3.2296078205108643,0.28882,0.2282
3.041262626647949,0.29392,0.2298
3.0684287548065186,0.2995,0.2321
3.033761501312256,0.30268,0.2342
2.9473538398742676,0.3071,0.2367
2.933732509613037,0.3119,0.2378
2.994905948638916,0.31638,0.2402
2.915487051010132,0.32086,0.2404
2.8821704387664795,0.32578,0.2428
2.8072447776794434,0.32998,0.2448
2.925565004348755,0.33528,0.2468
2.8613483905792236,0.33898,0.2484
2.8414573669433594,0.34326,0.2507
2.903773307800293,0.34798,0.2509
2.7581920623779297,0.3518,0.2535
2.8508055210113525,0.35638,0.255
2.766056776046753,0.3607,0.2576
2.7412943840026855,0.36478,0.2594
2.7777576446533203,0.36904,0.2601
2.826183795928955,0.37438,0.2623
2.7160511016845703,0.37844,0.2651
2.696950912475586,0.38252,0.2649
2.6990771293640137,0.38694,0.2668
2.6558585166931152,0.39164,0.2681
2.677168846130371,0.39666,0.2705
2.6950511932373047,0.39936,0.2713
2.6021265983581543,0.40346,0.2729
2.5028607845306396,0.40856,0.2747
2.53143048286438,0.41256,0.2755
2.5914063453674316,0.41662,0.2772
2.4547009468078613,0.4208,0.2781
2.5380663871765137,0.42556,0.2803
2.4773168563842773,0.42958,0.2817
2.4614243507385254,0.43488,0.2828
2.574721574783325,0.43756,0.2842
2.397730588912964,0.44226,0.2848
2.44105863571167,0.4466,0.2874
2.377352476119995,0.45094,0.2874
2.359670400619507,0.45492,0.2878
2.544248580932617,0.45898,0.2888
2.414440155029297,0.46432,0.2915
2.3391330242156982,0.46698,0.2909
2.397249698638916,0.47238,0.2933
2.2786669731140137,0.47606,0.2928
2.2526447772979736,0.48014,0.2929
2.212092399597168,0.48436,0.2948
2.369990587234497,0.48804,0.294
2.228353500366211,0.49292,0.296
2.195347547531128,0.49732,0.2963
2.2657320499420166,0.50184,0.2967
